CName,CLink,CCity,CFounded,CNation,CLeague,CReputation,CStatus,CBalance,CTransfer_Budget,CTotal_Wages,CRemaining_Wages,CTraining_Facilities,CYouth_Facilities,CYouth_Recruitment,CJunior_Coaching,CBest_XI,CMost_Talented_XI
HamKam,https://fminside.net/clubs/1-fm-21/103283-hamkam,Hamar,1918,Norway,OBOS-ligaen,44,Professional,€ 2M,€ 18K,€ 15K pw,€ 1K pw,50,50,55,50,52,55
Estudiantes de Mérida,https://fminside.net/clubs/1-fm-21/109189-estudiantes-de-merida,Mérida,1971,Venezuela,Primera División,44,Professional,€ 3M,0,0 pw,0 pw,45,45,60,50,60,0
AFC Wimbledon,https://fminside.net/clubs/1-fm-21/5110769-afc-wimbledon,Wimbledon,2002,England,EFL League One,44,,€ 1M,€ 55K,€ 41K pw,€ 4K pw,30,30,30,40,55,61
Southend,https://fminside.net/clubs/1-fm-21/714-southend,Southend-on-Sea,1906,England,EFL League Two,44,Professional,€ 303K,0,€ 30K pw,164 pw,55,50,55,40,50,58
SC Lyon,https://fminside.net/clubs/1-fm-21/2000014035-sc-lyon,Lyon,1964,France,National,44,,€ 707K,0,€ 22K pw,€ 1K pw,25,15,25,25,52,58
SG Sonnenhof Großaspach,https://fminside.net/clubs/1-fm-21/8700474-sg-sonnenhof-groaspach,Aspach,1994,Germany,Regionalliga Südwest,44,,2.00,0,0 pw,0 pw,50,45,25,20,51,56
FC Den Bosch,https://fminside.net/clubs/1-fm-21/1005-fc-den-bosch,Den Bosch,1965,Netherlands,Eerste Divisie,44,Professional,€ 3M,€ 500K,€ 13K pw,597 pw,40,40,35,35,54,60
Júbilo Iwata,https://fminside.net/clubs/1-fm-21/1188-jubilo-iwata,Iwata,1972,Japan,J2 League,44,Professional,€ 5M,0,0 pw,0 pw,65,60,75,55,,
Tianjin TEDA,https://fminside.net/clubs/1-fm-21/416-tianjin-teda,Tianjin,1998,China PR,Chinese Super League,44,Professional,€ 56M,€ 2M,€ 738K pw,€ 35K pw,45,35,60,35,56,48
Radnik Surdulica,https://fminside.net/clubs/1-fm-21/5748006-radnik-surdulica,Surdulica,1926,Serbia,SuperLiga,44,,€ 649K,€ 170K,€ 9K pw,426 pw,45,45,55,45,55,60
Esteghlal Khuzestan,https://fminside.net/clubs/1-fm-21/23159427-esteghlal-khuzestan,Ahvaz,2011,Iran,Azadegan League,44,,€ 521K,0,0 pw,0 pw,30,35,50,30,50,0
Siena,https://fminside.net/clubs/1-fm-21/1170-siena,Siena,1904,Italy,Serie D Girone E,44,Semi-Professional,€ 923K,0,0 pw,0 pw,15,20,25,20,50,53
Deportes Iquique,https://fminside.net/clubs/1-fm-21/130787-deportes-iquique,Iquique,2002,Chile,Campeonato AFP,44,Professional,€ -351.5K,€ 170K,€ 33K pw,€ 2K pw,40,40,30,40,58,58
NK Domżale,https://fminside.net/clubs/1-fm-21/128652-nk-domale,Domzale,1921,Slovenia,PrvaLiga Telekom,44,Professional,€ 561K,€ 100K,€ 22K pw,€ 4K pw,60,65,90,65,57,62
Al-Fayha,https://fminside.net/clubs/1-fm-21/7920365-al-fayha,Majma'ah,1954,Saudi Arabia,Zain Professional League,44,,€ 8M,0,0 pw,0 pw,40,20,20,20,58,63
FC Vitkovice,https://fminside.net/clubs/1-fm-21/136152-fc-vitkovice,Ostrava,1919,Czech Republic,Fourth Division F,44,Professional,€ 1M,0,0 pw,0 pw,70,45,40,40,47,49
Oqjetpes,https://fminside.net/clubs/1-fm-21/484479-oqjetpes,Kókshetaý,1968,Kazakhstan,Priemjer Ligasy,44,Professional,0,0,0 pw,0 pw,25,30,45,40,53,53
Dinamo Samarqand,https://fminside.net/clubs/1-fm-21/477907-dinamo-samarqand,Samarqand,1960,Uzbekistan,Pro League,44,Professional,0,0,0 pw,0 pw,30,20,30,20,54,56
Sandnes Ulf,https://fminside.net/clubs/1-fm-21/109106-sandnes-ulf,Sandnes,1911,Norway,OBOS-ligaen,44,Professional,€ 3M,€ 91K,€ 20K pw,€ 2K pw,60,35,45,40,54,58
FC Anyang,https://fminside.net/clubs/1-fm-21/66029603-fc-anyang,Anyang,2013,South Korea,K League Challenge,44,,€ 3M,€ 2M,€ 29K pw,€ 5K pw,50,45,50,55,52,52
Sportivo Luqueño,https://fminside.net/clubs/1-fm-21/106072-sportivo-luqueno,Luque,1921,Paraguay,Primera División,44,Professional,€ 3M,0,0 pw,0 pw,55,55,80,60,59,64
Varbergs BoIS,https://fminside.net/clubs/1-fm-21/2677-varbergs-bois,Varberg,1925,Sweden,Allsvenskan,44,Professional,€ 50K,0,€ 30K pw,€ 1K pw,45,40,35,35,56,61
Exeter City,https://fminside.net/clubs/1-fm-21/651-exeter-city,Exeter,1901,England,EFL League Two,43,Professional,€ 3M,€ 55K,€ 35K pw,€ 4K pw,40,40,40,45,54,51
Shonan Bellmare,https://fminside.net/clubs/1-fm-21/1184-shonan-bellmare,Hiratsuka,1968,Japan,J1 League,43,Professional,€ 705K,0,0 pw,0 pw,65,60,60,45,,
Botafogo (SP),https://fminside.net/clubs/1-fm-21/121265-botafogo-sp,Ribeirão Preto (SP),1918,Brazil,Brazil Série B,43,Professional,€ -2.7K,0,€ 38K pw,€ 2K pw,45,40,50,35,60,61
Grêmio Esportivo Brasil,https://fminside.net/clubs/1-fm-21/301264-gremio-esportivo-brasil,Pelotas (RS),1911,Brazil,Brazil Série B,43,Professional,€ -10.2K,€ 8K,€ 35K pw,€ 6K pw,35,35,45,35,59,61
Londrina,https://fminside.net/clubs/1-fm-21/900678-londrina,Londrina (PR),1956,Brazil,Série C,43,Professional,€ 158K,€ 46K,€ 37K pw,€ 9K pw,60,60,50,40,56,60
Dep. Armenio,https://fminside.net/clubs/1-fm-21/108578-dep-armenio,Ingeniero Maschwitz (BA),1962,Argentina,Primera B Metropolitana,43,Professional,€ -7.8K,0,0 pw,0 pw,55,50,55,30,55,60
Acassuso,https://fminside.net/clubs/1-fm-21/952691-acassuso,Boulogne (BA),1922,Argentina,Primera B Metropolitana,43,Professional,€ 11K,0,0 pw,0 pw,40,35,50,25,56,59
San Telmo,https://fminside.net/clubs/1-fm-21/3101514-san-telmo,Dock Sud (BA),1904,Argentina,Primera B Metropolitana,43,,0,0,0 pw,0 pw,35,45,55,20,56,59
Tristán Suárez,https://fminside.net/clubs/1-fm-21/3101520-tristan-suarez,Tristán Suárez (BA),1929,Argentina,Primera B Metropolitana,43,,0,0,0 pw,0 pw,60,55,55,25,57,57
Cipolletti,https://fminside.net/clubs/1-fm-21/108524-cipolletti,Cipolletti (RN),1926,Argentina,Torneo Argentino A,43,Professional,€ -6.9K,0,0 pw,0 pw,20,30,45,35,53,57
Gimnasia (CdU),https://fminside.net/clubs/1-fm-21/108567-gimnasia-cdu,Concepción del Uruguay (ER),1917,Argentina,Torneo Argentino A,43,Professional,0,0,0 pw,0 pw,45,50,50,40,53,58
Juv. Unida Universitario,https://fminside.net/clubs/1-fm-21/955211-juv-unida-universitario,San Luis (SL),1976,Argentina,Torneo Argentino A,43,Professional,€ -14K,0,0 pw,0 pw,10,25,40,30,53,56
Unión (Sunchales),https://fminside.net/clubs/1-fm-21/956889-union-sunchales,Sunchales (SF),1948,Argentina,Torneo Argentino A,43,Professional,0,0,0 pw,0 pw,10,20,30,20,53,52
Central Norte (Salta),https://fminside.net/clubs/1-fm-21/14002958-central-norte-salta,Salta (SA),1921,Argentina,Torneo Argentino A,43,,€ -33.4K,0,0 pw,0 pw,30,20,30,20,55,56
Sportivo Belgrano,https://fminside.net/clubs/1-fm-21/14022190-sportivo-belgrano,San Francisco (CB),1914,Argentina,Torneo Argentino A,43,,2.00,0,0 pw,0 pw,35,35,45,40,54,58
Chongqing Lifan,https://fminside.net/clubs/1-fm-21/115940-chongqing-lifan,Chongqing,2000,China PR,Chinese Super League,43,Professional,€ 6M,0,€ 355K pw,€ 17K pw,35,15,40,15,52,48
Turris Turnu Măgurele,https://fminside.net/clubs/1-fm-21/57057253-turris-turnu-mgurele,Turnu Măgurele,1965,Romania,Liga II,43,,€ 9K,0,€ 10K pw,893 pw,50,10,5,35,48,52
Győri ETO,https://fminside.net/clubs/1-fm-21/1054-gyri-eto,Győr,1904,Hungary,Merkantil Bank Liga,43,Professional,€ 550K,0,€ 9K pw,431 pw,40,35,40,25,50,53
Szombathelyi Haladás,https://fminside.net/clubs/1-fm-21/1056-szombathelyi-haladas,Szombathely,1919,Hungary,Merkantil Bank Liga,43,Professional,€ 143K,0,€ 7K pw,338 pw,40,45,55,50,49,53
Gyirmót FC,https://fminside.net/clubs/1-fm-21/7524224-gyirmot-fc,Győr,1993,Hungary,Merkantil Bank Liga,43,,€ 829K,0,€ 8K pw,386 pw,30,30,25,25,49,54
Team Wellington,https://fminside.net/clubs/1-fm-21/1301559-team-wellington,Wellington,2004,New Zealand,Football Championship,43,,€ 41K,0,0 pw,0 pw,45,45,60,65,47,50
Osmanlıspor,https://fminside.net/clubs/1-fm-21/130355-osmanlspor,Ankara,1978,Turkey,TFF 1. Lig,43,Professional,€ 434K,€ 43K,€ 21K pw,980 pw,80,80,25,45,54,60
Fredrikstad,https://fminside.net/clubs/1-fm-21/1312-fredrikstad,Fredrikstad,1903,Norway,PostNord-ligaen,43,Professional,€ 271K,€ 91K,€ 11K pw,€ 1K pw,55,55,60,55,52,56
ACR. Messina,https://fminside.net/clubs/1-fm-21/700206-acr-messina,Messina,1900,Italy,Serie D Girone I,43,Semi-Professional,€ 245K,0,0 pw,0 pw,15,20,20,20,45,46
Universidad de Concepción,https://fminside.net/clubs/1-fm-21/130789-universidad-de-concepcion,Concepción,1994,Chile,Campeonato AFP,43,Professional,€ 12K,€ 170K,€ 24K pw,€ 1K pw,55,55,50,40,56,56
Ingulets Petrove,https://fminside.net/clubs/1-fm-21/71076802-ingulets-petrove,Petrove (Kirovograds'ka oblast),2013,Ukraine,FavBet Liha,43,,€ 4K,0,€ 15K pw,685 pw,40,40,30,35,55,54
Qatar SC,https://fminside.net/clubs/1-fm-21/5624425-qatar-sc,Doha,1959,Qatar,QNB Stars League,43,,€ 736K,0,0 pw,0 pw,50,50,90,40,62,0
Al-Batin,https://fminside.net/clubs/1-fm-21/7920492-al-batin,Hafr al-Batin,1979,Saudi Arabia,First Division,43,,€ 736K,0,0 pw,0 pw,35,20,15,20,63,0
Kano Pillars,https://fminside.net/clubs/1-fm-21/5410014-kano-pillars,Kano,1990,Nigeria,Nigeria Professional Football League,43,,€ 221K,0,0 pw,0 pw,35,40,40,55,44,62
RAAL La Louvière,https://fminside.net/clubs/1-fm-21/169-raal-la-louviere,La Louvière,1912,Belgium,Division 2 C,43,Semi-Professional,2.00,0,0 pw,0 pw,60,65,50,70,49,55
Köln,https://fminside.net/clubs/1-fm-21/879643-koln,Köln,1904,Germany,3. Liga,43,Professional,€ 603K,0,€ 69K pw,€ 12K pw,40,40,25,30,57,59
Fortuna Köln,https://fminside.net/clubs/1-fm-21/922-fortuna-koln,Köln,1948,Germany,Regionalliga West,43,Professional,2.00,0,0 pw,0 pw,45,40,25,30,51,54
Pontedera,https://fminside.net/clubs/1-fm-21/2216-pontedera,Pontedera,1912,Italy,Lega Pro Girone A,43,Professional,€ 813K,€ 300K,€ 29K pw,€ 1K pw,50,25,20,25,51,54
Irtysh Pavlodar,https://fminside.net/clubs/1-fm-21/130593-irtysh-pavlodar,Pavlodar,1965,Kazakhstan,Priemjer Ligasy,43,Professional,0,0,0 pw,0 pw,35,45,65,55,55,0
Milsami Orhei,https://fminside.net/clubs/1-fm-21/59007641-milsami-orhei,Orhei,2005,Moldova,Divizia Naţională,43,,0,0,0 pw,0 pw,35,20,25,35,40,0
Aucas,https://fminside.net/clubs/1-fm-21/308091-aucas,Quito,1945,Ecuador,LigaPro Serie A,43,Professional,€ 2M,0,0 pw,0 pw,40,40,50,40,62,0
W Connection,https://fminside.net/clubs/1-fm-21/5625310-w-connection,California (TRI),1986,Trinidad and Tobago,Pro League,43,,€ 806K,0,0 pw,0 pw,40,40,100,45,40,0
Venados,https://fminside.net/clubs/1-fm-21/51051210-venados,Mérida,1988,Mexico,Expansion League,43,,€ 701K,€ 255K,€ 21K pw,995 pw,45,35,35,35,52,57
FK Pohronie,https://fminside.net/clubs/1-fm-21/63011669-fk-pohronie,-,1966,Slovakia,Fortuna Liga,43,,€ 22K,€ 50K,€ 4K pw,187 pw,50,35,40,40,49,53
Nykøbing FC,https://fminside.net/clubs/1-fm-21/539-nykbing-fc,Nykøbing Falster,1994,Denmark,2. division,43,Professional,€ 194K,€ 34K,€ 23K pw,€ 3K pw,30,20,40,25,49,45
Colchester,https://fminside.net/clubs/1-fm-21/636-colchester,Colchester,1937,England,EFL League Two,43,Professional,€ 759K,0,€ 57K pw,€ 3K pw,65,65,55,45,54,62
SO Cholet,https://fminside.net/clubs/1-fm-21/1991-so-cholet,Cholet,1946,France,National,43,Semi-Professional,€ 630K,0,€ 22K pw,1000 pw,20,15,20,20,50,56
US Créteil-Lusitanos,https://fminside.net/clubs/1-fm-21/2069-us-creteil-lusitanos,Créteil,1936,France,National,43,Semi-Professional,€ 618K,0,€ 21K pw,968 pw,50,45,40,35,52,56
MVV Maastricht,https://fminside.net/clubs/1-fm-21/1022-mvv-maastricht,Maastricht,1902,Netherlands,Eerste Divisie,43,Professional,€ 3M,€ 415K,€ 16K pw,743 pw,40,40,40,40,53,60
SC Telstar,https://fminside.net/clubs/1-fm-21/1043-sc-telstar,IJmuiden,1963,Netherlands,Eerste Divisie,43,Professional,€ 3M,€ 25K,€ 19K pw,870 pw,40,40,40,40,52,58
Alloa Athletic,https://fminside.net/clubs/1-fm-21/1539-alloa-athletic,Alloa,1883,Scotland,Championship,43,Semi-Professional,€ 20K,€ 3K,€ 6K pw,476 pw,40,45,55,60,48,50
Airdrieonians,https://fminside.net/clubs/1-fm-21/5203872-airdrieonians,Airdrie,1878,Scotland,League One,43,,€ 94K,€ 1K,€ 9K pw,818 pw,45,50,50,50,43,54
SD Leioa,https://fminside.net/clubs/1-fm-21/67059945-sd-leioa,Leioa,1948,Spain,Segunda División B Grupo II,43,,€ 33K,0,€ 18K pw,€ 1K pw,20,25,25,15,49,54
UE Cornellà,https://fminside.net/clubs/1-fm-21/814086-ue-cornella,Cornellá de Llobregat,1951,Spain,Segunda División B Grupo III,43,Semi-Professional,€ 33K,0,€ 32K pw,€ -6.9K pw,40,25,55,35,56,61
CE L'Hospitalet,https://fminside.net/clubs/1-fm-21/4203009-ce-lhospitalet,Hospitalet de Llobregat,1957,Spain,Segunda División B Grupo III,43,,€ 175K,0,€ 30K pw,€ 1K pw,65,30,45,35,53,45
Cuiabá,https://fminside.net/clubs/1-fm-21/318915-cuiaba,Cuiabá (MT),2001,Brazil,Brazil Série B,43,Professional,€ 419K,€ 76K,€ 49K pw,€ 2K pw,55,50,50,50,62,58
Paysandu,https://fminside.net/clubs/1-fm-21/331-paysandu,Belém (PA),1914,Brazil,Série C,43,Professional,€ 8K,€ 18K,€ 24K pw,€ 1K pw,45,40,55,35,58,53
Sacachispas,https://fminside.net/clubs/1-fm-21/952751-sacachispas,Ciudad de Buenos Aires,1948,Argentina,Primera B Metropolitana,43,Professional,€ -6.4K,0,0 pw,0 pw,30,30,45,25,56,58
Villa San Carlos,https://fminside.net/clubs/1-fm-21/952755-villa-san-carlos,Berisso (BA),1925,Argentina,Primera B Metropolitana,43,Professional,€ -12.1K,0,0 pw,0 pw,45,45,55,25,54,58
Talleres (RE),https://fminside.net/clubs/1-fm-21/3101518-talleres-re,Remedios de Escalada (BA),1906,Argentina,Primera B Metropolitana,43,,€ -6.4K,0,0 pw,0 pw,45,45,55,40,57,58
Juv. Unida (Gualeguaychú),https://fminside.net/clubs/1-fm-21/14031213-juv-unida-gualeguaychu,Gualeguaychú (ER),1907,Argentina,Torneo Argentino A,43,,€ -7.2K,0,0 pw,0 pw,35,30,40,20,53,57
Ferro (GP),https://fminside.net/clubs/1-fm-21/14031222-ferro-gp,General Pico (LP),1934,Argentina,Torneo Argentino A,43,,0,0,0 pw,0 pw,40,45,35,40,54,54
Güemes (SdE),https://fminside.net/clubs/1-fm-21/14046675-guemes-sde,Santiago del Estero (SE),1932,Argentina,Torneo Argentino A,43,,€ -11.8K,0,0 pw,0 pw,45,40,35,40,58,40
Tokushima Vortis,https://fminside.net/clubs/1-fm-21/786384-tokushima-vortis,Tokushima,1955,Japan,J2 League,43,Professional,€ 3M,0,0 pw,0 pw,65,60,60,45,,
Podbeskidzie Bielsko-Biała,https://fminside.net/clubs/1-fm-21/714200-podbeskidzie-bielsko-biaa,Bielsko-Biała,1995,Poland,Ekstraklasa,43,Professional,€ 2M,€ 11K,€ 24K pw,€ 2K pw,40,30,50,40,54,54
Korona Kielce,https://fminside.net/clubs/1-fm-21/129577-korona-kielce,Kielce,1973,Poland,I liga,43,Professional,€ -770K,0,€ 14K pw,€ 1K pw,45,40,45,55,50,56
Miedź Legnica,https://fminside.net/clubs/1-fm-21/710017-mied-legnica,Legnica,1971,Poland,I liga,43,Professional,€ 1M,€ 22K,€ 29K pw,€ 3K pw,40,45,50,45,54,56
Istra 1961,https://fminside.net/clubs/1-fm-21/662735-istra-1961,Pula,1961,Croatia,HT Prva liga,43,Professional,€ -5M,0,€ 21K pw,€ 2K pw,65,50,60,60,57,60
Inter Zaprešić,https://fminside.net/clubs/1-fm-21/659403-inter-zaprei,Zapresic,1929,Croatia,Druga HNL,43,Professional,€ -1M,€ 80K,€ 5K pw,€ 2K pw,45,50,50,55,49,57
Ionikos,https://fminside.net/clubs/1-fm-21/975-ionikos,Nikaia,1965,Greece,Super League 2,43,Professional,€ 70K,0,€ 13K pw,€ 2K pw,20,20,25,30,55,52
Hatayspor,https://fminside.net/clubs/1-fm-21/130342-hatayspor,Hatay,1967,Turkey,Turkish SüperLig,43,Professional,€ 1M,€ 197K,€ 151K pw,€ 13K pw,20,25,10,25,63,54
Fatih Karagümrük,https://fminside.net/clubs/1-fm-21/458631-fatih-karagumruk,İstanbul,1926,Turkey,Turkish SüperLig,43,Professional,€ 793K,€ 79K,€ 227K pw,€ 11K pw,20,25,10,25,66,56
Bld. Erzurumspor,https://fminside.net/clubs/1-fm-21/70054558-bld-erzurumspor,Erzurum,2010,Turkey,Turkish SüperLig,43,,€ 839K,€ 194K,€ 139K pw,€ 7K pw,25,25,10,25,61,51
TS Sporting,https://fminside.net/clubs/1-fm-21/65041696-ts-sporting,Nelspruit,2016,South Africa,First Division,43,,0,0,€ 19K pw,886 pw,40,40,45,35,49,43
Sekhukhune Utd,https://fminside.net/clubs/1-fm-21/2000034502-sekhukhune-utd,-,2020,South Africa,First Division,43,,0,0,€ 4K pw,296 pw,5,20,30,20,53,58
Chiasso,https://fminside.net/clubs/1-fm-21/137936-chiasso,Chiasso,1905,Switzerland,Brack.ch Challenge League,43,Professional,€ 58K,€ 46K,€ 24K pw,€ 1K pw,45,35,40,30,53,59
Concordia Chiajna,https://fminside.net/clubs/1-fm-21/57000252-concordia-chiajna,Chiajna,1957,Romania,Liga II,43,,€ 83K,0,€ 15K pw,€ 1K pw,60,65,95,70,46,51
Altınordu,https://fminside.net/clubs/1-fm-21/8478376-altnordu,İzmir,1923,Turkey,TFF 1. Lig,43,,€ 4M,€ 3M,€ 29K pw,€ 1K pw,80,80,25,80,53,60
Deryneia,https://fminside.net/clubs/1-fm-21/1300271-deryneia,Deryneia,1920,Cyprus,B' Katigoria,43,,€ 62K,0,0 pw,0 pw,25,25,55,25,52,0
AS Béziers,https://fminside.net/clubs/1-fm-21/85012713-as-beziers,Béziers,2007,France,National 2 Groupe D,43,,€ -18.4K,0,0 pw,0 pw,25,20,25,35,50,55
Ull/Kisa,https://fminside.net/clubs/1-fm-21/5000207-ull-kisa,Ullensaker,1894,Norway,OBOS-ligaen,43,,€ 2M,€ 18K,€ 13K pw,826 pw,45,35,35,35,52,56
Taranto,https://fminside.net/clubs/1-fm-21/2224-taranto,Taranto,1906,Italy,Serie D Girone H,43,Semi-Professional,€ 104K,0,0 pw,0 pw,60,45,50,40,46,54
Coquimbo Unido,https://fminside.net/clubs/1-fm-21/120924-coquimbo-unido,Coquimbo,1958,Chile,Campeonato AFP,43,Professional,€ -395.7K,€ 59K,€ 31K pw,€ 1K pw,40,40,35,40,60,57
Expreso Rojo,https://fminside.net/clubs/1-fm-21/5261737-expreso-rojo,Soacha,1997,Colombia,Torneo BetPlay,43,,€ 608K,€ 68K,€ 25K pw,€ 1K pw,35,40,50,45,55,63
Fortaleza FC,https://fminside.net/clubs/1-fm-21/76019314-fortaleza-fc,Bogotá,2011,Colombia,Torneo BetPlay,43,,€ 897K,€ 21K,€ 18K pw,868 pw,50,55,55,55,55,61
Muangthong Utd,https://fminside.net/clubs/1-fm-21/23078012-muangthong-utd,Nonthaburi,1989,Thailand,Toyota Thai League,43,,€ 3M,0,0 pw,0 pw,65,65,100,60,58,62
NK Koper,https://fminside.net/clubs/1-fm-21/1632-nk-koper,Koper,1920,Slovenia,PrvaLiga Telekom,43,Professional,€ 456K,€ 95K,€ 14K pw,661 pw,55,55,60,55,56,62
Íþróttabandalag Akraness,https://fminside.net/clubs/1-fm-21/1072-irottabandalag-akraness,Akranes,1946,Iceland,Pepsi-deildin,43,Professional,€ -16K,0,€ 10K pw,613 pw,60,60,90,80,49,60
Víkingur Reykjavík,https://fminside.net/clubs/1-fm-21/1101637-vikingur-reykjavik,Reykjavík,1908,Iceland,Pepsi-deildin,43,,€ 20K,€ 17K,€ 14K pw,654 pw,40,40,85,55,53,59
HK,https://fminside.net/clubs/1-fm-21/7840140-hk,Kópavogur,1970,Iceland,Pepsi-deildin,43,,€ 292K,€ 34K,€ 11K pw,505 pw,70,75,85,60,51,52
Al-Nasr (UAE),https://fminside.net/clubs/1-fm-21/135448-al-nasr-uae,Dubai,1945,United Arab Emirates,Arabian Gulf League,43,Professional,€ 2M,0,0 pw,0 pw,40,45,75,30,64,60
Dessel Sport,https://fminside.net/clubs/1-fm-21/188-dessel-sport,Dessel,1926,Belgium,Nationale 1,43,Semi-Professional,€ 302K,0,€ 12K pw,546 pw,60,60,45,55,49,50
Patro Eisden Maasmechelen,https://fminside.net/clubs/1-fm-21/248-patro-eisden-maasmechelen,Eisden,1942,Belgium,Nationale 1,43,Semi-Professional,€ 101K,€ 5K,€ 15K pw,712 pw,60,65,40,70,52,49
Vardar Skopje,https://fminside.net/clubs/1-fm-21/1239-vardar-skopje,Skopje,1947,North Macedonia,1. MFL,43,Professional,0,0,0 pw,0 pw,70,80,65,60,46,55
Rot-Weiß Erfurt,https://fminside.net/clubs/1-fm-21/2244-rot-wei-erfurt,Erfurt,1966,Germany,North East-South,43,Professional,2.00,0,0 pw,0 pw,55,45,45,30,42,53
Plateau Utd,https://fminside.net/clubs/1-fm-21/5340760-plateau-utd,Jos,1975,Nigeria,Nigeria Professional Football League,43,,2.00,0,0 pw,0 pw,30,35,40,50,54,62
Ifeanyi Ubah,https://fminside.net/clubs/1-fm-21/13161916-ifeanyi-ubah,Nnewi,2015,Nigeria,Nigeria Professional Football League,43,,0,0,0 pw,0 pw,5,25,35,25,,
Rivers Utd,https://fminside.net/clubs/1-fm-21/13185587-rivers-utd,Port Harcourt,2016,Nigeria,Nigeria Professional Football League,43,,0,0,0 pw,0 pw,25,25,35,25,57,0
Stade Tunisien,https://fminside.net/clubs/1-fm-21/5390013-stade-tunisien,Tunis,1948,Tunisia,CLP-1,43,,€ 306K,0,0 pw,0 pw,55,45,65,50,52,57
US Monastir,https://fminside.net/clubs/1-fm-21/5390017-us-monastir,Monastir,1923,Tunisia,CLP-1,43,,€ 115K,0,0 pw,0 pw,60,50,50,40,58,59
SO Armée,https://fminside.net/clubs/1-fm-21/8626797-so-armee,Yamoussoukro,1962,Ivory Coast,Ligue 1,43,,€ 74K,0,0 pw,0 pw,30,15,15,30,58,63
RC Abidjan,https://fminside.net/clubs/1-fm-21/12078795-rc-abidjan,Yopougon,2009,Ivory Coast,Ligue 1,43,,€ 74K,0,0 pw,0 pw,30,30,35,40,56,71
Racing Cba.,https://fminside.net/clubs/1-fm-21/3102137-racing-cba,Córdoba (CB),1924,Argentina,Torneo Argentino B,43,,€ -33.1K,0,0 pw,0 pw,25,25,55,45,52,58
Guaraní Antonio Franco,https://fminside.net/clubs/1-fm-21/14031210-guarani-antonio-franco,Posadas (MI),1932,Argentina,Torneo Argentino B,43,,€ -11.6K,0,0 pw,0 pw,55,55,65,20,54,56
KSV Oudenaarde,https://fminside.net/clubs/1-fm-21/6600093-ksv-oudenaarde,Oudenaarde,1911,Belgium,Division 2 A,43,,-987.00,0,0 pw,0 pw,55,60,45,70,43,48
Sacramento,https://fminside.net/clubs/1-fm-21/20030374-sacramento,Sacramento (CA),2012,United States,USLC Western Conference,43,,€ 314K,0,0 pw,0 pw,50,20,30,20,54,58
San Antonio,https://fminside.net/clubs/1-fm-21/20041486-san-antonio,San Antonio (TX),2015,United States,USLC Western Conference,43,,€ 73K,0,0 pw,0 pw,50,35,50,35,52,53
Miami FC,https://fminside.net/clubs/1-fm-21/20040608-miami-fc,Miami (FL),2015,United States,USLC Eastern Conference,43,,€ 523K,0,0 pw,0 pw,40,30,50,40,52,50
Meppen,https://fminside.net/clubs/1-fm-21/919-meppen,Meppen,1912,Germany,3. Liga,43,Professional,€ 2M,0,€ 56K pw,€ 5K pw,45,45,35,30,53,57
Panionios,https://fminside.net/clubs/1-fm-21/984-panionios,Nea Smyrni,1890,Greece,G Ethniki 6os Omilos,43,Semi-Professional,0,0,0 pw,0 pw,25,40,45,50,46,44
SC Salgueiros,https://fminside.net/clubs/1-fm-21/1486-sc-salgueiros,Porto,1911,Portugal,Campeonato de Portugal Prio C,43,Professional,€ 162K,€ 5K,€ 9K pw,862 pw,30,30,40,25,51,57
Gondomar SC,https://fminside.net/clubs/1-fm-21/2423-gondomar-sc,Gondomar (POR),1921,Portugal,Campeonato de Portugal Prio C,43,Semi-Professional,€ 101K,€ 5K,€ 3K pw,460 pw,65,60,40,45,47,48
SP Espinho,https://fminside.net/clubs/1-fm-21/1490-sp-espinho,Espinho,1914,Portugal,Campeonato de Portugal Prio D,43,Semi-Professional,€ 85K,€ 5K,€ 4K pw,612 pw,15,20,55,40,48,52
Benfica e Castelo Branco,https://fminside.net/clubs/1-fm-21/2427-benfica-e-castelo-branco,Castelo Branco,1924,Portugal,Campeonato de Portugal Prio E,43,Semi-Professional,€ 25K,0,€ 4K pw,502 pw,55,55,40,30,48,50
Alverca,https://fminside.net/clubs/1-fm-21/2391-alverca,Alverca do Ribatejo,1939,Portugal,Campeonato de Portugal Prio F,43,Professional,€ 309K,€ 30K,€ 12K pw,€ 2K pw,60,70,70,65,53,55
So'g'diyona,https://fminside.net/clubs/1-fm-21/484434-sogdiyona,Jizzax,0,Uzbekistan,Superleague,43,Professional,0,0,0 pw,0 pw,10,20,25,20,53,57
Daejeon Hana Citizen,https://fminside.net/clubs/1-fm-21/130774-daejeon-hana-citizen,Daejeon,1997,South Korea,K League Challenge,43,Professional,€ 11M,€ 5M,€ 49K pw,€ 5K pw,50,50,55,60,55,55
Central (TRI),https://fminside.net/clubs/1-fm-21/45082612-central-tri,California (TRI),2012,Trinidad and Tobago,Pro League,43,,€ 11K,0,0 pw,0 pw,40,35,100,35,,
LA Firpo,https://fminside.net/clubs/1-fm-21/1200440-la-firpo,Usulután,1923,El Salvador,Primerà Division,43,,0,0,0 pw,0 pw,55,60,55,75,55,0
Yverdon,https://fminside.net/clubs/1-fm-21/105898-yverdon,Yverdon,1948,Switzerland,Promotion League,43,Semi-Professional,0,0,0 pw,0 pw,45,30,30,45,49,53
